Incident Date,State,City/County,Address,# killed,# injured
"May 20, 2019",Louisiana,Alexandria,1900 block of Bacon Street,1,4
"May 20, 2019",Ohio,Columbus,2424 Sullivant Ave,0,4
"May 20, 2019",Oklahoma,Tulsa,8118 E 16th St,1,3
"May 19, 2019",Oregon,Portland,226 SE Madison St,0,5
"May 18, 2019",Mississippi,Cascilla,700 Leverette Ln,1,4
"May 18, 2019",Alabama,Atmore,100 Martin Luther King Avenue,1,8
"May 18, 2019",Indiana,Muncie,2410 W. Euclid Ave,1,6
"May 18, 2019",California,Long Beach,1616 West Pacific Coast Highway,1,4
"May 18, 2019",North Carolina,Winston Salem (Winston-salem),4252 Cody Drive,2,4
"May 18, 2019",Nebraska,Omaha,2825 Y St,0,4
"May 18, 2019",Iowa,Cedar Rapids,70 Kirkwood Ct SW,2,2
"May 17, 2019",California,Sacramento,7326 Stockton Blvd,1,3
"May 16, 2019",Ohio,Cleveland,9500 Cardwell Ave,0,4
"May 15, 2019",Louisiana,Saint Rose,100 block of St. Rose Ave,0,4
"May 14, 2019",California,Los Angeles,1248 W 47th St,0,4
"May 13, 2019",Louisiana,New Orleans,2100 block of 4th St,0,4
"May 13, 2019",Missouri,Saint Louis,4047 Shreve Ave,4,1
"May 11, 2019",Pennsylvania,Effort,Toll Rd and Bayberry Rd,0,4
"May 11, 2019",New Jersey,Paulsboro,275 W Buck St,0,4
"May 10, 2019",Pennsylvania,Philadelphia,1900 block of N Croskey St,0,5
"May 10, 2019",Missouri,Saint Louis,4000 block of Ashland Ave,0,6
"May 8, 2019",Indiana,Indianapolis,Roache St and Rader St,0,4
"May 7, 2019",Colorado,Littleton (Highlands Ranch),8773 S Ridgeline Blvd,1,8
"May 5, 2019",New Jersey,North Bergen,2033 45th Street,1,4
"May 5, 2019",California,Oceano,1001 Cabrillo Hwy,0,6
"May 4, 2019",Missouri,Saint Louis,Union Blvd and Northland Ave,1,4
"May 4, 2019",Indiana,Indianapolis,101 W Maryland St,0,4
"May 4, 2019",California,Stockton,5105 Holiday Dr,1,4
"May 4, 2019",Delaware,Wilmington,W 27th St and Tatnall St,0,4
"May 3, 2019",Texas,Dallas,5400 Cedar Springs Rd,1,3
"May 3, 2019",Maryland,Baltimore,1900 block of Ramsay St,0,5
"May 3, 2019",Maryland,Baltimore,2500 block of E Biddle St,0,4
"May 1, 2019",Massachusetts,Boston,32 Windermere Rd,1,3
"April 30, 2019",North Carolina,Charlotte,9214 South Library Ln,2,4
"April 28, 2019",Ohio,West Chester,4637 Wyndtree Drive,4,0
"April 28, 2019",Tennessee,Nashville,1407 Dr DB Todd Jr Blvd,0,7
"April 28, 2019",Alabama,Birmingham,514 19th St Ensley,0,4
"April 28, 2019",Maryland,Baltimore,2544 Edmondson Ave,1,7
"April 27, 2019",California,Los Angeles,700 N San Fernando Rd,0,6
"April 27, 2019",Mississippi,Jackson,700 block of Monterey St,1,3
"April 27, 2019",California,Poway,16934 Chabad Way,1,3
"April 27, 2019",Michigan,Jackson,800 block of Homewild St,0,4
"April 26, 2019",Oklahoma,Hugo,400 block of W Bissell St,0,4
"April 21, 2019",Pennsylvania,Philadelphia,1500 block of South 31st St,0,4
"April 20, 2019",Tennessee,Memphis,761 Chestnut Ave,0,5
"April 20, 2019",Texas,Corpus Christi,2900 block of Sunrise Ave,0,4
"April 19, 2019",Kansas,Wichita,1628 S George Washington Blvd,0,4
"April 18, 2019",Kentucky,Louisville,4000 block of Bells Ln,0,4
"April 16, 2019",Maryland,Germantown,18700 block of Curry Powder Ln,1,3
"April 14, 2019",California,Stockton,2539 E Main St,0,4
"April 14, 2019",California,Vallejo,100 block of Princeton Ave,1,3
"April 14, 2019",Florida,Miami,NW 19th Ave and 60th St,2,2
"April 13, 2019",California,Moreno Valley,23500 block of Alessandro Blvd,0,4
"April 12, 2019",Illinois,Carbondale,119 N Washington St,0,4
"April 11, 2019",Maryland,Baltimore,2200 block of Ruskin Ave,1,3
"April 11, 2019",California,Los Angeles,E 103rd St and S Main St,1,4
"April 11, 2019",Arizona,Phoenix,7112 W Minnezona Ave,3,2
"April 9, 2019",Missouri,Kansas City,5339 Michigan Ave,1,3
"April 7, 2019",North Carolina,Winston Salem (Winston-salem),515 N Cherry St,0,7
"April 7, 2019",Indiana,Indianapolis,3600 block of Roosevelt Ave,2,2
"April 7, 2019",Louisiana,Shreveport,433 Flournoy Lucas Rd,0,4
"April 7, 2019",Delaware,Wilmington,940 N Pine St,0,6
"April 6, 2019",Florida,Tallahassee,500 block of Kissimmee St,0,4
"April 6, 2019",Illinois,Chicago,6300 block of S Seeley Ave,0,6
"April 4, 2019",Georgia,Stockbridge,300 block of Eagle Ct,3,2
"April 4, 2019",Florida,Panama City,100 block of Allen Ave,1,3
"April 2, 2019",Mississippi,Hermanville,13195 MS 18,0,4
"April 2, 2019",Kentucky,Covington,300 block of 13th St,0,5
"March 31, 2019",Illinois,Chicago,500 block of N Hamlin Ave,1,4
"March 31, 2019",Georgia,Atlanta,3041 Landrum Dr SW,1,4
"March 31, 2019",South Carolina,North Charleston,1900 block of Jacksonville Rd,0,7
"March 28, 2019",Maryland,Baltimore,6200 block of Boston St,0,4
"March 25, 2019",Nevada,North Las Vegas,2400 block of W San Miguel St,0,5
"March 24, 2019",California,San Francisco,1300 Fillmore St,1,6
"March 24, 2019",Arizona,Phoenix,2202 W McDowell Rd,0,7
"March 19, 2019",Arizona,Phoenix,8526 N 27th Ave,2,4
"March 17, 2019",Georgia,Augusta,900 block of Broad St,0,4
"March 17, 2019",Georgia,Rochelle,Dennis St,1,3
"March 17, 2019",Nevada,Las Vegas,600 E Fremont St,0,4
"March 16, 2019",New Jersey,Camden,619 Ferry Ave,1,3
"March 15, 2019",Alabama,Mobile,515 Dauphin Island Pkwy,2,4
"March 14, 2019",Montana,Missoula,5145 Airway Blvd,1,3
"March 13, 2019",Illinois,Harvey,14701 S Wood St,1,3
"March 11, 2019",New Jersey,Paterson,291 12th Ave,0,4
"March 10, 2019",Louisiana,Shreveport,2700 block of San Jacinto Ave,0,4
"March 10, 2019",Colorado,Denver,15th St and Market St,1,4
"March 3, 2019",California,Oakland,316 14th St,0,4
"March 3, 2019",Illinois,Chicago,2900 block of E 79th St,0,6
"March 2, 2019",Arkansas,Pine Bluff,723 East 25th Ave,1,4
"February 28, 2019",California,Oakland,9755 Edes Ave,1,3
"February 22, 2019",Alabama,Birmingham,1100 block of Carnation Dr,2,2
"February 21, 2019",Maryland,Baltimore,500 block of Bloom St,1,4
"February 21, 2019",Kentucky,Elizabethtown,600 N Miles St,2,2
"February 21, 2019",Texas,Houston,12800 block of Eastbrook Dr,2,2
"February 20, 2019",Tennessee,Covington,529 N College St,0,4
"February 17, 2019",Texas,Henderson,504 S Van Buren St,2,2
"February 17, 2019",Indiana,Evansville,664 E Illinois St,0,5
"February 17, 2019",Louisiana,New Orleans,Tulane Ave and Elk Pl,1,5
"February 16, 2019",Mississippi,Clinton,1214 Foxhill Dr,5,0
"February 15, 2019",Illinois,Aurora,641 Archer Ave,6,6
"February 14, 2019",Florida,Jacksonville,5905 Redpoll Ave,2,2
"February 11, 2019",Texas,Livingston,3628 FM 3126,5,0
"February 9, 2019",Virginia,Petersburg,109 Perry St,0,4
"February 6, 2019",New York,Brooklyn,1778 Fulton St,1,3
"February 5, 2019",Texas,San Antonio,538 Hot Wells Blvd,2,2
"February 4, 2019",District of Columbia,Washington,2341 Pennsylvania Avenue SE,0,4
"February 4, 2019",Louisiana,Baton Rouge,4000 block of Topeka St,0,4
"February 3, 2019",California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0
"February 3, 2019",Illinois,Chicago,938 E 75th St,2,5
"February 1, 2019",California,San Diego,6800 block of Springfield St,0,4
"January 28, 2019",Texas,Houston,7815 Harding St,2,4
"January 27, 2019",Alabama,Birmingham,Avenue O and Warrior Rd,0,5
"January 26, 2019",Louisiana,Gonzales,42350 Church Point Rd,5,0
"January 26, 2019",Indiana,Indianapolis,2957 N Sherman Dr,0,5
"January 26, 2019",Georgia,Albany,300 block of West Roosevelt,0,4
"January 26, 2019",New Jersey,Newark,612 Bergen St,1,3
"January 24, 2019",Georgia,Rockmart,148 W Church Rd,4,1
"January 24, 2019",Pennsylvania,State College,1450 S Atherton St,4,1
"January 23, 2019",Florida,Sebring,1901 US 27 S,5,0
"January 20, 2019",Florida,Miami,26133 SW 139th Ave,0,4
"January 19, 2019",Pennsylvania,Lebanon,1140 Church St,0,4
"January 19, 2019",South Carolina,Gaffney,1435 Wilcox Ave,1,4
"January 19, 2019",Texas,Houston,7041 Sherman St,3,2
"January 19, 2019",Illinois,Chicago,4400 block of W Madison St,0,4
"January 19, 2019",Florida,Jacksonville,11445 Brian Lakes Drive,3,2
"January 17, 2019",Kentucky,Owensboro,940 Audubon Ave,3,1
"January 16, 2019",Florida,Jacksonville,Emerson St and Spring Park Rd,1,5
"January 16, 2019",California,Palmdale,Ranch Center Dr and 40th St W,3,1
"January 15, 2019",Arkansas,Little Rock,5420 Baseline Rd,1,3
"January 13, 2019",Arizona,Phoenix,2445 E Van Buren St,1,5
"January 6, 2019",New Mexico,Roswell,1300 block of W College Blvd,0,4
"January 4, 2019",Virginia,Hurt,3197 Shula Dr,3,2
"January 4, 2019",California,Torrance,22501 Hawthorne Blvd,3,4
"January 3, 2019",Arizona,Yuma,3800 block of E. County 18½ St,1,3
"January 2, 2019",Arkansas,Jonesboro,3516 Galaxy St,1,3
"January 1, 2019",South Carolina,Columbia,1709 Decker Blvd,0,5
"January 1, 2019",Florida,Tallahassee,2020 W Pensacola St,0,5
