Incident Date,State,City/County,Address,# killed,# injured
"December 31, 2017",New Jersey,Annandale,31 Petticoat Ln,0,1
"December 31, 2017",Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6
"December 29, 2017",California,Los Angeles,Hartford Ave,0,1
"December 28, 2017",Alabama,Birmingham,400 block of Princeton Avenue,0,1
"December 28, 2017",Virginia,Fredericksburg,Heron Drive,1,1
"December 27, 2017",West Virginia,Gandeeville,Red Oak Dr,0,2
"December 26, 2017",Texas,Dallas (Farmers Branch),2800 block of Valley View Ln,1,1
"December 25, 2017",Arizona,Phoenix,1601 East Highland Avenue,3,1
"December 24, 2017",Virginia,Sterling,46700 Hollow Mountain Place,0,2
"December 22, 2017",Minnesota,Gilbert,Michigan Ave,1,1
"December 22, 2017",Ohio,Cleveland,600 block of E 93rd St,0,2
"December 22, 2017",Pennsylvania,Harrisburg,17th St and Mulberry St,1,1
"December 20, 2017",Ohio,Cincinnati,3200 Burnet Ave,1,1
"December 19, 2017",Alabama,Stockton,63656 AL 59,0,1
"December 18, 2017",Wisconsin,Sturgeon Bay,727 Prairie Ln,0,1
"December 18, 2017",Tennessee,Strawberry Plains,110 block of Noe Hill Ln,0,2
"December 18, 2017",Florida,Crestview,N/A,0,1
"December 17, 2017",California,Ferndale,700 block of Coppini Ln,0,2
"December 17, 2017",Washington,Bremerton,251 Lebo Blvd,1,2
"December 14, 2017",Missouri,Saint Louis,Chambers Rd and Bellefontaine Rd,0,3
"December 13, 2017",Indiana,Indianapolis,2100 block of Spann Ave,0,2
"December 12, 2017",Indiana,Jeffersonville,East Park Place and Main Street,0,2
"December 11, 2017",California,Jolon (Fort Hunter Liggett),238 California Ave,0,1
"December 11, 2017",California,Monterey,Nacimiento-Fergusson Rd,0,1
"December 8, 2017",Pennsylvania,Philadelphia,2900 block of Judson St,0,1
"December 7, 2017",Oklahoma,Clinton,S 3rd St and Hayes Ave,0,1
"December 6, 2017",Florida,Miami,3200 NW 79th St,1,1
"December 6, 2017",Illinois,Chicago,9500 S King Dr,0,1
"December 5, 2017",Arkansas,Waldron,Imogene Rd,0,1
"December 5, 2017",Missouri,Arnold,2101 Jeffco Blvd,1,1
"December 4, 2017",Texas,San Marcos,4020 Monterey Oak,1,1
"December 2, 2017",Missouri,Smithville,800 block of Cherry Lane,0,2
"December 1, 2017",Minnesota,Minneapolis (Brooklyn Park),9110 Brooklyn Blvd,0,1
"November 30, 2017",Arizona,Mesa,N Ellsworth Rd and E Brown Rd,0,3
"November 29, 2017",California,Santa Clarita,21300 block of Bottletree Ln,0,1
"November 29, 2017",Maryland,Baltimore,800 block of Bridgeview Rd,0,1
"November 27, 2017",Virginia,Richmond,4211 Beulah Rd,1,1
"November 26, 2017",California,Hanford,9th Ave and Jackson Ave,2,0
"November 26, 2017",Alabama,Huntsville,Savoy Circle,1,1
"November 24, 2017",Texas,Wimberley,11552 block of Ranch Road 12,1,1
"November 23, 2017",Texas,Fairfield,I 45 and US 84,1,0
"November 21, 2017",New York,Niagara Falls,1100 block of North Ave,0,1
"November 17, 2017",Pennsylvania,New Kensington,1200 block of Leishman Avenue,1,0
"November 16, 2017",Ohio,Toledo,4100 block of Caroline Ave,0,1
"November 16, 2017",West Virginia,Charleston,610 Albert St,1,2
"November 15, 2017",Maryland,Baltimore,900 block of Bennett Pl,1,1
"November 11, 2017",Texas,Dallas,3800 block of Bonnie View Road,0,1
"November 9, 2017",Tennessee,Kingsport,1900 block of Manor Court,1,2
"November 8, 2017",Georgia,Forest Park,4700 Block of Mitchell St,1,2
"November 7, 2017",Pennsylvania,Williamsport,2225 W 3rd St,2,1
"November 7, 2017",Pennsylvania,Stockertown,PA 33 and PA 191,0,2
"November 7, 2017",Utah,Salt Lake City (West Valley City),1251 W Village Main Dr,0,3
"November 6, 2017",Virginia,Portsmouth,2500 block of Hickory St,0,1
"November 5, 2017",Mississippi,Meridian,Poplar Springs Dr,1,1
"November 5, 2017",Texas,Houston,9000 block of Walnut Glen Dr,0,1
"November 3, 2017",Arkansas,Batesville,Neeley Street,1,1
"November 2, 2017",Oklahoma,Edmond,8100 block of Waterloo Rd,0,0
"November 1, 2017",California,San Francisco,18th St and Diamond St,0,2
"November 1, 2017",New Jersey,Camden,9th St and Chelton Ave,0,1
"November 1, 2017",Alabama,Anniston,High Street,2,1
"November 1, 2017",Alabama,Birmingham (Vestavia Hills),1000 block of Montgomery Hwy,1,0
"October 31, 2017",Texas,Arlington,Kelly Elliott Rd and Green Oaks Blvd,0,2
"October 31, 2017",Florida,New Smyrna Beach,246 Industrial Park Ave,0,1
"October 31, 2017",Texas,Arlington,Green Oaks Blvd and Kelly Elliott Rd,1,2
"October 29, 2017",Mississippi,Senatobia,I-55,1,1
"October 27, 2017",Florida,Pensacola,4093 Barrancas Ave,0,2
"October 23, 2017",California,Clearlake Oaks,13000 block of Anchor Village,2,3
"October 23, 2017",New York,Greig,7899 Woodcook Dr,0,0
"October 21, 2017",Ohio,Girard,408 Indiana Ave,2,0
"October 18, 2017",New Jersey,North Bergen,N/A,0,1
"October 18, 2017",Tennessee,Jackson,226 Cotton Grove Rd,0,1
"October 16, 2017",New York,Syracuse,555 S State St,0,1
"October 14, 2017",New Jersey,Newark,168 Goodwin Avenue,0,1
"October 13, 2017",Louisiana,New Orleans,Tower Lane and Lake Forest Blvd,1,1
"October 12, 2017",Florida,Boynton Beach,2424 N Federal Hwy,1,1
"October 12, 2017",Missouri,Saint Louis,Jefferson Ave and Cherokee St,0,1
"October 12, 2017",Alabama,Birmingham (Homewood),345 State Farm Pkwy,1,1
"October 9, 2017",Florida,Sebastian,1405 Indian River Dr,0,2
"October 9, 2017",Texas,Lubbock,413 Flint Avenue,1,0
"October 8, 2017",Arizona,Pinetop,Church Ln and Rhoton Ln,1,1
"October 5, 2017",California,El Monte,11200 block of Broadmead St,0,1
"October 5, 2017",Tennessee,Nashville,7475 Cockrill Bend Blvd,0,1
"October 4, 2017",Mississippi,Jackson,4200 block of I-55 N,0,1
"October 4, 2017",Georgia,Georgetown,300 block of Azalea Trace,0,1
"October 2, 2017",Pennsylvania,Mechanicsburg,5450 Carlisle Pike,1,0
"October 1, 2017",Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441
"October 1, 2017",Louisiana,Lafayette,3601 Moss St,1,2
