Date,Location,Deaths,Injuries
"January 10, 2018","Denison, Texas",0,0
"January 20, 2018","Winston-Salem, North Carolina",1,0
"January 22, 2018","Italy, Texas",0,1
"January 22, 2018","New Orleans, Louisiana",0,1
"January 23, 2018","Marshall County, Kentucky",2,18
"January 25, 2018","Mobile, Alabama",0,0
"January 31, 2018",Philadelphia,1,0
"February 1, 2018","Los Angeles, California",0,5
"February 5, 2018","Oxon Hill, Maryland",0,1
"February 9, 2018","Nashville, Tennessee",0,1
"February 14, 2018","Parkland, Florida",17,17
"February 24, 2018","Savannah, Georgia",1,0
"February 27, 2018","Itta Bena, Mississippi",0,1
"February 27, 2018","Norfolk, Virginia",0,1
"March 2, 2018","Mount Pleasant, Michigan",2,0
"March 7, 2018","Birmingham, Alabama",1,2
"March 7, 2018","Jackson, Mississippi",0,1
"March 8, 2018","Mobile, Alabama",0,1
"March 9, 2018","Lexington, Kentucky",0,1
"March 13, 2018","Seaside, California",0,1
"March 14, 2018","Birmingham, Alabama",2,1
"March 20, 2018","Great Mills, Maryland",2,1
"April 12, 2018","Raytown, Missouri",0,1
"April 20, 2018","Ocala, Florida",0,1
"May 11, 2018","Palmdale, California",0,1
"May 16, 2018","Dixon, Illinois",0,1
"May 18, 2018","Santa Fe, Texas",10,13
"May 18, 2018","Jonesboro, Georgia",1,3
"May 25, 2018","Noblesville, Indiana",0,2
"August 17, 2018","Wellington, Florida",0,2
"August 20, 2018",Atlanta,0,0
"August 30, 2018","San Francisco, California",0,1
"September 5, 2018","Providence, Rhode Island",1,1
"September 10, 2018","Memphis, Tennessee",0,1
"September 11, 2018","Las Vegas, Nevada",1,0
"October 29, 2018","Matthews, North Carolina",1,1
"December 13, 2018","Richmond, Indiana",1,0
